candidate_domain,candidate_skills,candidate_years_experience,candidate_education,cv_text,job_domain,job_skills,job_years_required,job_description,relevance_score
Gestion de Projet,MS Project;Scrum;Budget projet;Jira;Reporting projet;Product Owner;Planification;PMP;User Research,7,Bac+5 (Master / Ingénieur),"Ahmed, Bac+5 (Master / Ingénieur), 7 ans d'expérience dans le domaine Gestion de Projet. Compétences techniques maîtrisées : MS Project, Scrum, Budget projet, Jira, Reporting projet, Product Owner, Planification, PMP, User Research. Domaine principal : Gestion de Projet. Qualités personnelles : esprit d'équipe, sens de l'organisation, créativité.",Gestion de Projet,Kanban;Planification;Roadmap produit;Product Owner;MS Project;Agile;Scrum,2,"Nous recherchons un profil Gestion de Projet justifiant d'au moins 2 ans d'expérience. Compétences requises : Kanban, Planification, Roadmap produit, Product Owner, MS Project, Agile, Scrum. Le candidat idéal maîtrise ces technologies et outils dans un contexte Gestion de Projet.",79.7
Gestion de Projet,Agile;Gestion des risques;PRINCE2;Scrum;Planification;Product Owner,4,Bac+3 (Licence),"Aziz - Bac+3 (Licence) - 4 années d'expérience professionnelle en Gestion de Projet. A travaillé pendant 4 ans sur des projets liés à Gestion de Projet, en mettant en œuvre Agile, Gestion des risques, PRINCE2, Scrum, Planification, Product Owner. Qualités personnelles : esprit critique, créativité, esprit d'équipe.",Gestion de Projet,PRINCE2;Confluence;Roadmap produit;Kanban;Budget projet;Reporting projet;Scrum;MS Project;PMP,3,"Offre d'emploi : spécialiste Gestion de Projet, expérience minimale de 3 ans. Compétences requises : PRINCE2, Confluence, Roadmap produit, Kanban, Budget projet, Reporting projet, Scrum, MS Project, PMP. Le candidat idéal maîtrise ces technologies et outils dans un contexte Gestion de Projet.",59.45
Développement Logiciel,TypeScript;RabbitMQ;Docker;Spring Boot;Vue.js;PostgreSQL;Angular;JUnit,7,Bac+3 (Licence),"Profil Développement Logiciel avec 7 ans d'expérience. Diplôme : Bac+3 (Licence). Compétences techniques maîtrisées : TypeScript, RabbitMQ, Docker, Spring Boot, Vue.js, PostgreSQL, Angular, JUnit. Domaine principal : Développement Logiciel. Qualités personnelles : curiosité, esprit d'équipe, adaptabilité.",Développement Logiciel,React;Express;Docker;MySQL;CSS;JUnit,0,"Offre d'emploi : spécialiste Développement Logiciel, expérience minimale de 0 ans. Compétences requises : React, Express, Docker, MySQL, CSS, JUnit. Le candidat idéal maîtrise ces technologies et outils dans un contexte Développement Logiciel.",62.49
Ressources Humaines,Paie;Formation professionnelle;Marque employeur;Recrutement;Workday,7,Bac+2 (BTS/DUT),"Profil Ressources Humaines avec 7 ans d'expérience. Diplôme : Bac+2 (BTS/DUT). Compétences techniques maîtrisées : Paie, Formation professionnelle, Marque employeur, Recrutement, Workday. Domaine principal : Ressources Humaines. Qualités personnelles : gestion du stress, sens de l'organisation, communication.",Cybersécurité,Analyse de vulnérabilités;Firewall;Gestion des risques;SOC;Incident Response;VPN,2,"Nous recherchons un profil Cybersécurité justifiant d'au moins 2 ans d'expérience. Compétences requises : Analyse de vulnérabilités, Firewall, Gestion des risques, SOC, Incident Response, VPN. Le candidat idéal maîtrise ces technologies et outils dans un contexte Cybersécurité.",50.85
Design UI/UX,Wireframing;Prototypage;Illustrator;InVision;UI Design;Design System;Design Thinking;Adobe XD,0,Bac+5 (Master / Ingénieur),"Nour - Bac+5 (Master / Ingénieur) - 0 années d'expérience professionnelle en Design UI/UX. Expérience professionnelle de 0 ans incluant l'utilisation de Wireframing, Prototypage, Illustrator, InVision, UI Design, Design System, Design Thinking, Adobe XD dans des projets Design UI/UX. Qualités personnelles : esprit critique, résolution de problèmes, sens de l'organisation.",DevOps / Cloud,Infrastructure as Code;Monitoring;Kubernetes;Helm,5,"Nous recherchons un profil DevOps / Cloud justifiant d'au moins 5 ans d'expérience. Compétences requises : Infrastructure as Code, Monitoring, Kubernetes, Helm. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",4.82
Finance / Comptabilité,Audit financier;Modélisation financière;Consolidation;SAP;Analyse financière;Gestion des risques financiers;Excel avancé;Power BI;Reporting financier;Trésorerie;Contrôle de gestion;Comptabilité générale,6,Bac+5 (Master / Ingénieur),"Profil Finance / Comptabilité avec 6 ans d'expérience. Diplôme : Bac+5 (Master / Ingénieur). Expérience professionnelle de 6 ans incluant l'utilisation de Audit financier, Modélisation financière, Consolidation, SAP, Analyse financière, Gestion des risques financiers, Excel avancé, Power BI, Reporting financier, Trésorerie, Contrôle de gestion, Comptabilité générale dans des projets Finance / Comptabilité. Qualités personnelles : autonomie, sens de l'organisation, créativité.",Finance / Comptabilité,Budgétisation;Reporting financier;Trésorerie;Comptabilité générale;Fiscalité;Analyse financière;Modélisation financière;Consolidation,1,"Poste ouvert dans le domaine Finance / Comptabilité, 1 ans d'expérience minimum requis. Compétences requises : Budgétisation, Reporting financier, Trésorerie, Comptabilité générale, Fiscalité, Analyse financière, Modélisation financière, Consolidation. Le candidat idéal maîtrise ces technologies et outils dans un contexte Finance / Comptabilité.",92.4
Ressources Humaines,Droit du travail;Paie;Onboarding;Entretien annuel;SuccessFactors;Recrutement;SIRH;Workday;GPEC,4,Bac+5 (Master / Ingénieur),"Candidat motivé, 4 ans d'expérience en Ressources Humaines, Bac+5 (Master / Ingénieur). Compétences techniques maîtrisées : Droit du travail, Paie, Onboarding, Entretien annuel, SuccessFactors, Recrutement, SIRH, Workday, GPEC. Domaine principal : Ressources Humaines. Qualités personnelles : leadership, sens de l'organisation, rigueur.",Ressources Humaines,Marque employeur;Formation professionnelle;Onboarding;GPEC;Droit du travail;Recrutement,1,"Offre d'emploi : spécialiste Ressources Humaines, expérience minimale de 1 ans. Compétences requises : Marque employeur, Formation professionnelle, Onboarding, GPEC, Droit du travail, Recrutement. Le candidat idéal maîtrise ces technologies et outils dans un contexte Ressources Humaines.",79.4
Data Science / Intelligence Artificielle,R;Python;scikit-learn;Tableau;Airflow;Computer Vision;Keras;A/B Testing;Pandas;PyTorch;Power BI,6,Doctorat (PhD),"Slim, Doctorat (PhD), 6 ans d'expérience dans le domaine Data Science / Intelligence Artificielle. A travaillé pendant 6 ans sur des projets liés à Data Science / Intelligence Artificielle, en mettant en œuvre R, Python, scikit-learn, Tableau, Airflow, Computer Vision, Keras, A/B Testing, Pandas, PyTorch, Power BI. Qualités personnelles : adaptabilité, autonomie, gestion du stress.",Data Science / Intelligence Artificielle,Data Visualization;Python;Feature Engineering;PyTorch;Pandas,1,"Poste ouvert dans le domaine Data Science / Intelligence Artificielle, 1 ans d'expérience minimum requis. Compétences requises : Data Visualization, Python, Feature Engineering, PyTorch, Pandas. Le candidat idéal maîtrise ces technologies et outils dans un contexte Data Science / Intelligence Artificielle.",67.74
Design UI/UX,Design System;Illustrator;Accessibilité;User Research;UX Writing,5,Bac+3 (Licence),"Candidat motivé, 5 ans d'expérience en Design UI/UX, Bac+3 (Licence). A travaillé pendant 5 ans sur des projets liés à Design UI/UX, en mettant en œuvre Design System, Illustrator, Accessibilité, User Research, UX Writing. Qualités personnelles : gestion du stress, communication, sens de l'organisation.",Design UI/UX,Wireframing;Motion Design;Accessibilité;After Effects;Design System;UI Design;Photoshop,0,"Poste ouvert dans le domaine Design UI/UX, 0 ans d'expérience minimum requis. Compétences requises : Wireframing, Motion Design, Accessibilité, After Effects, Design System, UI Design, Photoshop. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",69.87
DevOps / Cloud,Vagrant;Prometheus;Cloud Security;Monitoring;Helm;GCP;Bash;Jenkins,3,Bac+3 (Licence),"Ines, Bac+3 (Licence), 3 ans d'expérience dans le domaine DevOps / Cloud. A travaillé pendant 3 ans sur des projets liés à DevOps / Cloud, en mettant en œuvre Vagrant, Prometheus, Cloud Security, Monitoring, Helm, GCP, Bash, Jenkins. Qualités personnelles : créativité, autonomie, rigueur.",DevOps / Cloud,Load Balancing;AWS;Cloud Security;Monitoring;GCP;Jenkins,1,"Poste ouvert dans le domaine DevOps / Cloud, 1 ans d'expérience minimum requis. Compétences requises : Load Balancing, AWS, Cloud Security, Monitoring, GCP, Jenkins. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",83.66
Cybersécurité,Cryptographie;Ethical Hacking;Firewall;Gestion des risques;Wireshark;Analyse de vulnérabilités;IAM;OWASP;Pentest;Audit de sécurité,5,Bac+3 (Licence),"Candidat motivé, 5 ans d'expérience en Cybersécurité, Bac+3 (Licence). A travaillé pendant 5 ans sur des projets liés à Cybersécurité, en mettant en œuvre Cryptographie, Ethical Hacking, Firewall, Gestion des risques, Wireshark, Analyse de vulnérabilités, IAM, OWASP, Pentest, Audit de sécurité. Qualités personnelles : autonomie, leadership, résolution de problèmes.",Réseaux / Systèmes,Linux;Virtualisation;Cisco;Routage;PowerShell;DNS;Windows Server;Active Directory;DHCP;Switching,5,"Offre d'emploi : spécialiste Réseaux / Systèmes, expérience minimale de 5 ans. Compétences requises : Linux, Virtualisation, Cisco, Routage, PowerShell, DNS, Windows Server, Active Directory, DHCP, Switching. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",53.17
Finance / Comptabilité,Budgétisation;Power BI;Comptabilité générale;SAP;Gestion des risques financiers;Consolidation;Analyse financière;IFRS;Trésorerie;Contrôle de gestion,9,Doctorat (PhD),"Farah - Doctorat (PhD) - 9 années d'expérience professionnelle en Finance / Comptabilité. Compétences techniques maîtrisées : Budgétisation, Power BI, Comptabilité générale, SAP, Gestion des risques financiers, Consolidation, Analyse financière, IFRS, Trésorerie, Contrôle de gestion. Domaine principal : Finance / Comptabilité. Qualités personnelles : gestion du stress, communication, autonomie.",Gestion de Projet,Gestion des risques;Product Owner;Agile;Kanban;Scrum;Confluence;Jira;Roadmap produit;Planification;MS Project,7,"Poste ouvert dans le domaine Gestion de Projet, 7 ans d'expérience minimum requis. Compétences requises : Gestion des risques, Product Owner, Agile, Kanban, Scrum, Confluence, Jira, Roadmap produit, Planification, MS Project. Le candidat idéal maîtrise ces technologies et outils dans un contexte Gestion de Projet.",53.29
Finance / Comptabilité,IFRS;Fiscalité;Comptabilité générale;Trésorerie;Reporting financier;Modélisation financière;SAP;Budgétisation;Contrôle de gestion;Consolidation;Gestion des risques financiers,5,Doctorat (PhD),"Yassine, Doctorat (PhD), 5 ans d'expérience dans le domaine Finance / Comptabilité. Compétences techniques maîtrisées : IFRS, Fiscalité, Comptabilité générale, Trésorerie, Reporting financier, Modélisation financière, SAP, Budgétisation, Contrôle de gestion, Consolidation, Gestion des risques financiers. Domaine principal : Finance / Comptabilité. Qualités personnelles : adaptabilité, autonomie, curiosité.",Finance / Comptabilité,IFRS;Fiscalité;SAP;Reporting financier,0,"Offre d'emploi : spécialiste Finance / Comptabilité, expérience minimale de 0 ans. Compétences requises : IFRS, Fiscalité, SAP, Reporting financier. Le candidat idéal maîtrise ces technologies et outils dans un contexte Finance / Comptabilité.",96.89
Data Science / Intelligence Artificielle,Deep Learning;Statistiques;TensorFlow;PyTorch;A/B Testing;MLOps,2,Bac+2 (BTS/DUT),"Firas - Bac+2 (BTS/DUT) - 2 années d'expérience professionnelle en Data Science / Intelligence Artificielle. Expérience professionnelle de 2 ans incluant l'utilisation de Deep Learning, Statistiques, TensorFlow, PyTorch, A/B Testing, MLOps dans des projets Data Science / Intelligence Artificielle. Qualités personnelles : sens de l'organisation, créativité, rigueur.",Gestion de Projet,Planification;Scrum;Agile;Confluence;Product Owner;Reporting projet;Kanban;Jira,7,"Offre d'emploi : spécialiste Gestion de Projet, expérience minimale de 7 ans. Compétences requises : Planification, Scrum, Agile, Confluence, Product Owner, Reporting projet, Kanban, Jira. Le candidat idéal maîtrise ces technologies et outils dans un contexte Gestion de Projet.",14.32
Data Science / Intelligence Artificielle,Hadoop;Spark;Python;scikit-learn;NLP;MLOps;Deep Learning;ETL,3,Bac+2 (BTS/DUT),"Profil Data Science / Intelligence Artificielle avec 3 ans d'expérience. Diplôme : Bac+2 (BTS/DUT). Compétences techniques maîtrisées : Hadoop, Spark, Python, scikit-learn, NLP, MLOps, Deep Learning, ETL. Domaine principal : Data Science / Intelligence Artificielle. Qualités personnelles : adaptabilité, curiosité, créativité.",Data Science / Intelligence Artificielle,ETL;NumPy;A/B Testing;Machine Learning;Big Data;R;Power BI;Pandas;Hadoop;NLP,7,"Offre d'emploi : spécialiste Data Science / Intelligence Artificielle, expérience minimale de 7 ans. Compétences requises : ETL, NumPy, A/B Testing, Machine Learning, Big Data, R, Power BI, Pandas, Hadoop, NLP. Le candidat idéal maîtrise ces technologies et outils dans un contexte Data Science / Intelligence Artificielle.",43.73
DevOps / Cloud,GitLab CI;AWS;Prometheus;Ansible;Networking;Cloud Security;Kubernetes;Nginx,0,Bac+2 (BTS/DUT),"Salma - Bac+2 (BTS/DUT) - 0 années d'expérience professionnelle en DevOps / Cloud. A travaillé pendant 0 ans sur des projets liés à DevOps / Cloud, en mettant en œuvre GitLab CI, AWS, Prometheus, Ansible, Networking, Cloud Security, Kubernetes, Nginx. Qualités personnelles : rigueur, curiosité, esprit d'équipe.",DevOps / Cloud,GCP;Cloud Security;CI/CD;Grafana;Infrastructure as Code,3,"Offre d'emploi : spécialiste DevOps / Cloud, expérience minimale de 3 ans. Compétences requises : GCP, Cloud Security, CI/CD, Grafana, Infrastructure as Code. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",5.44
Gestion de Projet,Confluence;PRINCE2;Reporting projet;Planification;Kanban;Product Owner;MS Project;Agile;Jira,1,Doctorat (PhD),"Candidat motivé, 1 ans d'expérience en Gestion de Projet, Doctorat (PhD). Expérience professionnelle de 1 ans incluant l'utilisation de Confluence, PRINCE2, Reporting projet, Planification, Kanban, Product Owner, MS Project, Agile, Jira dans des projets Gestion de Projet. Qualités personnelles : leadership, esprit d'équipe, créativité.",Ressources Humaines,Formation professionnelle;Gestion des talents;SIRH;Entretien annuel;Workday;Droit du travail;Paie;GPEC,3,"Offre d'emploi : spécialiste Ressources Humaines, expérience minimale de 3 ans. Compétences requises : Formation professionnelle, Gestion des talents, SIRH, Entretien annuel, Workday, Droit du travail, Paie, GPEC. Le candidat idéal maîtrise ces technologies et outils dans un contexte Ressources Humaines.",19.55
Ressources Humaines,Marque employeur;GPEC;SuccessFactors;Recrutement;Droit du travail;Onboarding;Gestion des talents;SIRH;Entretien annuel;TensorFlow,4,Bac+3 (Licence),"Candidat motivé, 4 ans d'expérience en Ressources Humaines, Bac+3 (Licence). A travaillé pendant 4 ans sur des projets liés à Ressources Humaines, en mettant en œuvre Marque employeur, GPEC, SuccessFactors, Recrutement, Droit du travail, Onboarding, Gestion des talents, SIRH, Entretien annuel, TensorFlow. Qualités personnelles : rigueur, communication, créativité.",Ressources Humaines,Paie;SuccessFactors;GPEC;Entretien annuel;Relations sociales;Formation professionnelle;Marque employeur;Gestion des talents;SIRH;Workday,2,"Poste ouvert dans le domaine Ressources Humaines, 2 ans d'expérience minimum requis. Compétences requises : Paie, SuccessFactors, GPEC, Entretien annuel, Relations sociales, Formation professionnelle, Marque employeur, Gestion des talents, SIRH, Workday. Le candidat idéal maîtrise ces technologies et outils dans un contexte Ressources Humaines.",76.64
Data Science / Intelligence Artificielle,Spark;Power BI;Data Visualization;Computer Vision;Airflow;scikit-learn;MLOps,1,Bac+5 (Master / Ingénieur),"Farah, Bac+5 (Master / Ingénieur), 1 ans d'expérience dans le domaine Data Science / Intelligence Artificielle. Compétences techniques maîtrisées : Spark, Power BI, Data Visualization, Computer Vision, Airflow, scikit-learn, MLOps. Domaine principal : Data Science / Intelligence Artificielle. Qualités personnelles : gestion du stress, sens de l'organisation, autonomie.",Data Science / Intelligence Artificielle,Spark;R;MLOps;Hadoop,3,"Poste ouvert dans le domaine Data Science / Intelligence Artificielle, 3 ans d'expérience minimum requis. Compétences requises : Spark, R, MLOps, Hadoop. Le candidat idéal maîtrise ces technologies et outils dans un contexte Data Science / Intelligence Artificielle.",42.23
Cybersécurité,SIEM;Ethical Hacking;Pentest;IAM;Gestion des risques;ISO 27001;Incident Response;Audit de sécurité;Kali Linux;OWASP;SOC;Cryptographie;Entretien annuel,4,Bac+2 (BTS/DUT),"Profil Cybersécurité avec 4 ans d'expérience. Diplôme : Bac+2 (BTS/DUT). A travaillé pendant 4 ans sur des projets liés à Cybersécurité, en mettant en œuvre SIEM, Ethical Hacking, Pentest, IAM, Gestion des risques, ISO 27001, Incident Response, Audit de sécurité, Kali Linux, OWASP, SOC, Cryptographie, Entretien annuel. Qualités personnelles : sens de l'organisation, gestion du stress, rigueur.",Cybersécurité,Analyse de vulnérabilités;IAM;Firewall;Gestion des risques;SOC;Pentest;ISO 27001;Kali Linux;OWASP,3,"Nous recherchons un profil Cybersécurité justifiant d'au moins 3 ans d'expérience. Compétences requises : Analyse de vulnérabilités, IAM, Firewall, Gestion des risques, SOC, Pentest, ISO 27001, Kali Linux, OWASP. Le candidat idéal maîtrise ces technologies et outils dans un contexte Cybersécurité.",84.36
Gestion de Projet,Product Owner;Agile;Budget projet;Confluence;Kanban;PMP;Planification;PRINCE2;Scrum;Gestion des risques;Jira;Roadmap produit,7,Bac+3 (Licence),"Candidat motivé, 7 ans d'expérience en Gestion de Projet, Bac+3 (Licence). Expérience professionnelle de 7 ans incluant l'utilisation de Product Owner, Agile, Budget projet, Confluence, Kanban, PMP, Planification, PRINCE2, Scrum, Gestion des risques, Jira, Roadmap produit dans des projets Gestion de Projet. Qualités personnelles : communication, leadership, adaptabilité.",Réseaux / Systèmes,Routage;Switching;Supervision réseau;Cisco,5,"Offre d'emploi : spécialiste Réseaux / Systèmes, expérience minimale de 5 ans. Compétences requises : Routage, Switching, Supervision réseau, Cisco. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",39.52
Développement Logiciel,Spring;REST API;GraphQL;JUnit;Git;MongoDB;CSS;Docker;Microservices;Python;Google Analytics,5,Doctorat (PhD),"Profil Développement Logiciel avec 5 ans d'expérience. Diplôme : Doctorat (PhD). Expérience professionnelle de 5 ans incluant l'utilisation de Spring, REST API, GraphQL, JUnit, Git, MongoDB, CSS, Docker, Microservices, Python, Google Analytics dans des projets Développement Logiciel. Qualités personnelles : leadership, esprit critique, gestion du stress.",Développement Logiciel,Kafka;Microservices;Git;Angular;Redis,7,"Offre d'emploi : spécialiste Développement Logiciel, expérience minimale de 7 ans. Compétences requises : Kafka, Microservices, Git, Angular, Redis. Le candidat idéal maîtrise ces technologies et outils dans un contexte Développement Logiciel.",53.46
Data Science / Intelligence Artificielle,Computer Vision;A/B Testing;Data Visualization;SQL;Airflow;NLP;R;MLOps;Machine Learning,5,Doctorat (PhD),"Profil Data Science / Intelligence Artificielle avec 5 ans d'expérience. Diplôme : Doctorat (PhD). Compétences techniques maîtrisées : Computer Vision, A/B Testing, Data Visualization, SQL, Airflow, NLP, R, MLOps, Machine Learning. Domaine principal : Data Science / Intelligence Artificielle. Qualités personnelles : adaptabilité, esprit d'équipe, rigueur.",Finance / Comptabilité,SAP;Gestion des risques financiers;Consolidation;Contrôle de gestion;Trésorerie;Modélisation financière;IFRS;Audit financier;Fiscalité,2,"Nous recherchons un profil Finance / Comptabilité justifiant d'au moins 2 ans d'expérience. Compétences requises : SAP, Gestion des risques financiers, Consolidation, Contrôle de gestion, Trésorerie, Modélisation financière, IFRS, Audit financier, Fiscalité. Le candidat idéal maîtrise ces technologies et outils dans un contexte Finance / Comptabilité.",43.92
DevOps / Cloud,AWS;Ansible;Infrastructure as Code;CI/CD;Kubernetes;Vagrant;GitLab CI,6,Bac+5 (Master / Ingénieur),"Candidat motivé, 6 ans d'expérience en DevOps / Cloud, Bac+5 (Master / Ingénieur). Expérience professionnelle de 6 ans incluant l'utilisation de AWS, Ansible, Infrastructure as Code, CI/CD, Kubernetes, Vagrant, GitLab CI dans des projets DevOps / Cloud. Qualités personnelles : créativité, autonomie, gestion du stress.",DevOps / Cloud,Load Balancing;Linux;Vagrant;Bash;Monitoring;Nginx;Terraform;Prometheus,5,"Poste ouvert dans le domaine DevOps / Cloud, 5 ans d'expérience minimum requis. Compétences requises : Load Balancing, Linux, Vagrant, Bash, Monitoring, Nginx, Terraform, Prometheus. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",55.46
DevOps / Cloud,Jenkins;CI/CD;Ansible;Vagrant;Kubernetes;GitLab CI;Docker;Linux;Nginx,12,Doctorat (PhD),"Candidat motivé, 12 ans d'expérience en DevOps / Cloud, Doctorat (PhD). Compétences techniques maîtrisées : Jenkins, CI/CD, Ansible, Vagrant, Kubernetes, GitLab CI, Docker, Linux, Nginx. Domaine principal : DevOps / Cloud. Qualités personnelles : esprit critique, esprit d'équipe, résolution de problèmes.",Design UI/UX,Adobe XD;UX Writing;Accessibilité;After Effects;Prototypage;User Research,0,"Poste ouvert dans le domaine Design UI/UX, 0 ans d'expérience minimum requis. Compétences requises : Adobe XD, UX Writing, Accessibilité, After Effects, Prototypage, User Research. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",52.84
Réseaux / Systèmes,TCP/IP;PowerShell;VMware;Routage;Active Directory;Sécurité réseau;Supervision réseau;DHCP;Linux;Windows Server;Switching;Cisco,6,Bac+2 (BTS/DUT),"Anis, Bac+2 (BTS/DUT), 6 ans d'expérience dans le domaine Réseaux / Systèmes. Compétences techniques maîtrisées : TCP/IP, PowerShell, VMware, Routage, Active Directory, Sécurité réseau, Supervision réseau, DHCP, Linux, Windows Server, Switching, Cisco. Domaine principal : Réseaux / Systèmes. Qualités personnelles : rigueur, communication, autonomie.",Réseaux / Systèmes,TCP/IP;PowerShell;Sécurité réseau;Supervision réseau,5,"Poste ouvert dans le domaine Réseaux / Systèmes, 5 ans d'expérience minimum requis. Compétences requises : TCP/IP, PowerShell, Sécurité réseau, Supervision réseau. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",96.68
Ressources Humaines,Onboarding;Gestion des talents;Workday;SuccessFactors;Relations sociales;SIRH;Recrutement,3,Bac+2 (BTS/DUT),"Profil Ressources Humaines avec 3 ans d'expérience. Diplôme : Bac+2 (BTS/DUT). Compétences techniques maîtrisées : Onboarding, Gestion des talents, Workday, SuccessFactors, Relations sociales, SIRH, Recrutement. Domaine principal : Ressources Humaines. Qualités personnelles : sens de l'organisation, adaptabilité, créativité.",Ressources Humaines,Gestion des talents;SuccessFactors;Onboarding;SIRH;Relations sociales;Recrutement;Paie,3,"Offre d'emploi : spécialiste Ressources Humaines, expérience minimale de 3 ans. Compétences requises : Gestion des talents, SuccessFactors, Onboarding, SIRH, Relations sociales, Recrutement, Paie. Le candidat idéal maîtrise ces technologies et outils dans un contexte Ressources Humaines.",95.09
Design UI/UX,Tests utilisateurs;User Research;Design Thinking;Motion Design;Photoshop;Prototypage;Illustrator;InVision,3,Bac+3 (Licence),"Candidat motivé, 3 ans d'expérience en Design UI/UX, Bac+3 (Licence). A travaillé pendant 3 ans sur des projets liés à Design UI/UX, en mettant en œuvre Tests utilisateurs, User Research, Design Thinking, Motion Design, Photoshop, Prototypage, Illustrator, InVision. Qualités personnelles : autonomie, sens de l'organisation, esprit d'équipe.",Design UI/UX,Motion Design;After Effects;Sketch;InVision;Adobe XD;Wireframing;Accessibilité;Illustrator,0,"Poste ouvert dans le domaine Design UI/UX, 0 ans d'expérience minimum requis. Compétences requises : Motion Design, After Effects, Sketch, InVision, Adobe XD, Wireframing, Accessibilité, Illustrator. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",74.16
Marketing Digital,Email Marketing;Réseaux sociaux;CRM;Stratégie digitale;Content Marketing;Community Management;Copywriting;Wireframing,5,Bac+3 (Licence),"Profil Marketing Digital avec 5 ans d'expérience. Diplôme : Bac+3 (Licence). Expérience professionnelle de 5 ans incluant l'utilisation de Email Marketing, Réseaux sociaux, CRM, Stratégie digitale, Content Marketing, Community Management, Copywriting, Wireframing dans des projets Marketing Digital. Qualités personnelles : autonomie, rigueur, leadership.",DevOps / Cloud,Vagrant;Terraform;Linux;Load Balancing;Nginx;Prometheus;GitLab CI;Docker,2,"Poste ouvert dans le domaine DevOps / Cloud, 2 ans d'expérience minimum requis. Compétences requises : Vagrant, Terraform, Linux, Load Balancing, Nginx, Prometheus, GitLab CI, Docker. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",52.75
Design UI/UX,InVision;Tests utilisateurs;Wireframing;Motion Design;After Effects;UX Writing;Figma;UI Design;Accessibilité,3,Bac+3 (Licence),"Firas - Bac+3 (Licence) - 3 années d'expérience professionnelle en Design UI/UX. Compétences techniques maîtrisées : InVision, Tests utilisateurs, Wireframing, Motion Design, After Effects, UX Writing, Figma, UI Design, Accessibilité. Domaine principal : Design UI/UX. Qualités personnelles : autonomie, sens de l'organisation, adaptabilité.",Design UI/UX,Wireframing;After Effects;Accessibilité;UI Design;Illustrator;UX Writing;Prototypage;Figma;InVision,3,"Poste ouvert dans le domaine Design UI/UX, 3 ans d'expérience minimum requis. Compétences requises : Wireframing, After Effects, Accessibilité, UI Design, Illustrator, UX Writing, Prototypage, Figma, InVision. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",94.63
Marketing Digital,CRM;SEA;Stratégie digitale;Google Analytics;Google Ads;Content Marketing;Copywriting;Marketing Automation;SEO;Email Marketing;HubSpot,6,Bac+3 (Licence),"Candidat motivé, 6 ans d'expérience en Marketing Digital, Bac+3 (Licence). A travaillé pendant 6 ans sur des projets liés à Marketing Digital, en mettant en œuvre CRM, SEA, Stratégie digitale, Google Analytics, Google Ads, Content Marketing, Copywriting, Marketing Automation, SEO, Email Marketing, HubSpot. Qualités personnelles : adaptabilité, créativité, esprit critique.",Marketing Digital,SEA;HubSpot;Content Marketing;Réseaux sociaux,5,"Poste ouvert dans le domaine Marketing Digital, 5 ans d'expérience minimum requis. Compétences requises : SEA, HubSpot, Content Marketing, Réseaux sociaux. Le candidat idéal maîtrise ces technologies et outils dans un contexte Marketing Digital.",78.65
Ressources Humaines,Formation professionnelle;SuccessFactors;GPEC;Paie;Marque employeur,0,Bac+2 (BTS/DUT),"Profil Ressources Humaines avec 0 ans d'expérience. Diplôme : Bac+2 (BTS/DUT). Compétences techniques maîtrisées : Formation professionnelle, SuccessFactors, GPEC, Paie, Marque employeur. Domaine principal : Ressources Humaines. Qualités personnelles : communication, sens de l'organisation, rigueur.",Ressources Humaines,Workday;Relations sociales;Droit du travail;Entretien annuel;Marque employeur;SuccessFactors;Formation professionnelle;Recrutement,1,"Nous recherchons un profil Ressources Humaines justifiant d'au moins 1 ans d'expérience. Compétences requises : Workday, Relations sociales, Droit du travail, Entretien annuel, Marque employeur, SuccessFactors, Formation professionnelle, Recrutement. Le candidat idéal maîtrise ces technologies et outils dans un contexte Ressources Humaines.",21.42
Marketing Digital,Stratégie digitale;Google Analytics;Copywriting;Content Marketing;Branding;Facebook Ads;Réseaux sociaux;Marketing Automation;SEO;GPEC,5,Doctorat (PhD),"Candidat motivé, 5 ans d'expérience en Marketing Digital, Doctorat (PhD). Expérience professionnelle de 5 ans incluant l'utilisation de Stratégie digitale, Google Analytics, Copywriting, Content Marketing, Branding, Facebook Ads, Réseaux sociaux, Marketing Automation, SEO, GPEC dans des projets Marketing Digital. Qualités personnelles : esprit d'équipe, résolution de problèmes, curiosité.",Gestion de Projet,Scrum;Budget projet;Gestion des risques;PRINCE2;MS Project;Confluence,5,"Poste ouvert dans le domaine Gestion de Projet, 5 ans d'expérience minimum requis. Compétences requises : Scrum, Budget projet, Gestion des risques, PRINCE2, MS Project, Confluence. Le candidat idéal maîtrise ces technologies et outils dans un contexte Gestion de Projet.",47.9
